"SP-SM"|Yes|"53470638"|"100372562"
"SM"|Yes|"53470639"|"100372563"
"SM"|Yes|"53470640"|"100372564"
"GP-GM"|Yes|"53470641"|"100372565"
"SM"|No |"53470643"|"100372566"
"SP-SM"|No |"53470643"|"100372567"
"SM"|Yes|"53470643"|"100372568"
"SM"|No |"53470643"|"100372569"
"GP-GM"|No |"53470644"|"100372570"
"SM"|No |"53470644"|"100372571"
"SP-SM"|No |"53470644"|"100372572"
"SP-SM"|Yes|"53470644"|"100372573"
"SM"|No |"53470645"|"100372574"
"SP-SM"|Yes|"53470645"|"100372575"
"SM"|Yes|"53470646"|"100372576"
"GP-GM"|Yes|"53470647"|"100372577"
"GP"|Yes|"53470648"|"100372578"
"SP-SM"|Yes|"53470649"|"100372579"
"SM"|Yes|"53470650"|"100372580"
"SM"|No |"53470651"|"100372581"
"SP-SM"|Yes|"53470651"|"100372582"
"SP-SM"|No |"53470652"|"100372583"
"SP-SM"|Yes|"53470652"|"100372584"
"SM"|Yes|"53470653"|"100372585"
"SP-SM"|Yes|"53470654"|"100372586"
"SM"|Yes|"53470655"|"100372587"
"GP-GM"|No |"53470656"|"100372588"
"SP-SM"|Yes|"53470656"|"100372589"
"SM"|Yes|"53470657"|"100372590"
"SM"|No |"53470658"|"100372591"
"SP-SM"|Yes|"53470658"|"100372592"
"SM"|Yes|"53470659"|"100372593"
"GP-GM"|Yes|"53470660"|"100372594"
"SM"|No |"53470661"|"100372595"
"SP-SM"|Yes|"53470661"|"100372596"
"SM"|Yes|"53470662"|"100372597"
"SM"|No |"53470618"|"100372537"
"SP-SM"|Yes|"53470618"|"100372538"
"PT"|Yes|"53470619"|"100372539"
"PT"|Yes|"53470620"|"100372540"
"PT"|Yes|"53470621"|"100372541"
"SP-SM"|Yes|"53470622"|"100372542"
"SM"|No |"53470622"|"100372543"
"SM"|Yes|"53470623"|"100372544"
"SM"|No |"53470624"|"100372545"
"SP-SM"|Yes|"53470624"|"100372546"
"GP-GM"|Yes|"53470625"|"100372547"
"SP-SM"|Yes|"53470626"|"100372548"
"SP-SM"|Yes|"53470627"|"100372549"
"SM"|Yes|"53470628"|"100372550"
"SP-SM"|Yes|"53470609"|"100372527"
"SM"|Yes|"53470610"|"100372528"
"SM"|No |"53470611"|"100372529"
"SP-SM"|Yes|"53470611"|"100372530"
"SM"|Yes|"53470612"|"100372531"
"GP-GM"|Yes|"53470613"|"100372532"
"SP-SM"|Yes|"53470614"|"100372533"
"SM"|Yes|"53470615"|"100372534"
"SP-SM"|Yes|"53470616"|"100372535"
"SM"|Yes|"53470617"|"100372536"
"SP-SM"|Yes|"53470629"|"100372551"
"SM"|Yes|"53470630"|"100372552"
"SP-SM"|Yes|"53470631"|"100372553"
"GP-GM"|Yes|"53470632"|"100372554"
"SM"|No |"53470633"|"100372555"
"SP-SM"|Yes|"53470633"|"100372556"
"PT"|Yes|"53470634"|"100372557"
"PT"|Yes|"53470635"|"100372558"
"PT"|Yes|"53470636"|"100372559"
"SM"|No |"53470637"|"100372560"
"SP-SM"|Yes|"53470637"|"100372561"
"SM"|Yes|"53470663"|"100372598"
"SC-SM"|No |"53470663"|"100372599"
"SP-SM"|Yes|"53470664"|"100372600"
"SP-SM"|Yes|"53470665"|"100372601"
"SM"|Yes|"53470666"|"100372602"
